id,name,total,selfemployed,pct_selfemployed
01001,"Autauga County, Alabama",20800,1768,0.085
01003,"Baldwin County, Alabama",75149,7151,0.095
01005,"Barbour County, Alabama",9122,813,0.089
01007,"Bibb County, Alabama",7048,618,0.088
01009,"Blount County, Alabama",20619,1418,0.069
01011,"Bullock County, Alabama",3556,315,0.089
01013,"Butler County, Alabama",7675,523,0.068
01015,"Calhoun County, Alabama",45071,3836,0.085
01017,"Chambers County, Alabama",13851,651,0.047
01019,"Cherokee County, Alabama",10999,1276,0.116
01021,"Chilton County, Alabama",16619,1062,0.064
01023,"Choctaw County, Alabama",5562,317,0.057
01025,"Clarke County, Alabama",9554,466,0.049
01027,"Clay County, Alabama",5363,552,0.103
01029,"Cleburne County, Alabama",5834,576,0.099
01031,"Coffee County, Alabama",19375,1750,0.09
01033,"Colbert County, Alabama",22105,1671,0.076
01035,"Conecuh County, Alabama",5090,348,0.068
01037,"Coosa County, Alabama",4206,261,0.062
01039,"Covington County, Alabama",15179,1311,0.086
01041,"Crenshaw County, Alabama",5426,494,0.091
01043,"Cullman County, Alabama",31081,2673,0.086
01045,"Dale County, Alabama",18794,1190,0.063
01047,"Dallas County, Alabama",16099,1264,0.079
01049,"DeKalb County, Alabama",24811,3050,0.123
01051,"Elmore County, Alabama",28890,2788,0.097
01053,"Escambia County, Alabama",13536,814,0.06
01055,"Etowah County, Alabama",39522,3134,0.079
01057,"Fayette County, Alabama",6850,452,0.066
01059,"Franklin County, Alabama",11697,959,0.082
01061,"Geneva County, Alabama",10657,1169,0.11
01063,"Greene County, Alabama",3107,102,0.033
01065,"Hale County, Alabama",5948,432,0.073
01067,"Henry County, Alabama",6831,551,0.081
01069,"Houston County, Alabama",39363,3177,0.081
01071,"Jackson County, Alabama",19945,1893,0.095
01073,"Jefferson County, Alabama",261773,20368,0.078
01075,"Lamar County, Alabama",6010,511,0.085
01077,"Lauderdale County, Alabama",38361,3457,0.09
01079,"Lawrence County, Alabama",13321,1086,0.082
01081,"Lee County, Alabama",57901,4523,0.078
01083,"Limestone County, Alabama",32073,3103,0.097
01085,"Lowndes County, Alabama",4238,221,0.052
01087,"Macon County, Alabama",7915,497,0.063
01089,"Madison County, Alabama",139949,11371,0.081
01091,"Marengo County, Alabama",8149,504,0.062
01093,"Marion County, Alabama",12486,1505,0.121
01095,"Marshall County, Alabama",34461,3376,0.098
01097,"Mobile County, Alabama",154261,10876,0.071
01099,"Monroe County, Alabama",8316,417,0.05
01101,"Montgomery County, Alabama",90281,6992,0.077
01103,"Morgan County, Alabama",46164,4228,0.092
01105,"Perry County, Alabama",3198,156,0.049
01107,"Pickens County, Alabama",7618,684,0.09
01109,"Pike County, Alabama",12802,942,0.074
01111,"Randolph County, Alabama",8691,848,0.098
01113,"Russell County, Alabama",22333,1493,0.067
01115,"St. Clair County, Alabama",31832,2960,0.093
01117,"Shelby County, Alabama",75942,8422,0.111
01119,"Sumter County, Alabama",4878,339,0.069
01121,"Talladega County, Alabama",31461,2127,0.068
01123,"Tallapoosa County, Alabama",16338,1246,0.076
01125,"Tuscaloosa County, Alabama",70440,5593,0.079
01127,"Walker County, Alabama",25194,1799,0.071
01129,"Washington County, Alabama",6113,516,0.084
01131,"Wilcox County, Alabama",3792,174,0.046
01133,"Winston County, Alabama",9436,943,0.1
02013,"Aleutians East Borough, Alaska",788,229,0.291
02016,"Aleutians West Census Area, Alaska",1186,157,0.132
02020,"Anchorage Municipality, Alaska",104969,13787,0.131
02050,"Bethel Census Area, Alaska",4555,439,0.096
02060,"Bristol Bay Borough, Alaska",360,128,0.356
02068,"Denali Borough, Alaska",707,140,0.198
02070,"Dillingham Census Area, Alaska",1375,299,0.217
02090,"Fairbanks North Star Borough, Alaska",35303,3530,0.1
02100,"Haines Borough, Alaska",1170,348,0.297
02105,"Hoonah-Angoon Census Area, Alaska",836,211,0.252
02110,"Juneau City and Borough, Alaska",12138,2197,0.181
02122,"Kenai Peninsula Borough, Alaska",21481,3407,0.159
02130,"Ketchikan Gateway Borough, Alaska",5209,817,0.157
02150,"Kodiak Island Borough, Alaska",4585,955,0.208
02158,"Kusilvak Census Area, Alaska",1734,241,0.139
02164,"Lake and Peninsula Borough, Alaska",468,117,0.25
02170,"Matanuska-Susitna Borough, Alaska",30839,4481,0.145
02180,"Nome Census Area, Alaska",2879,441,0.153
02185,"North Slope Borough, Alaska",2018,121,0.06
02188,"Northwest Arctic Borough, Alaska",1904,141,0.074
02195,"Petersburg Borough, Alaska",1237,319,0.258
02198,"Prince of Wales-Hyder Census Area, Alaska",2267,525,0.232
02220,"Sitka City and Borough, Alaska",3504,757,0.216
02230,"Skagway Municipality, Alaska",428,110,0.257
02240,"Southeast Fairbanks Census Area, Alaska",2085,288,0.138
02261,"Valdez-Cordova Census Area, Alaska",2937,559,0.19
02275,"Wrangell City and Borough, Alaska",1045,222,0.212
02282,"Yakutat City and Borough, Alaska",247,94,0.381
02290,"Yukon-Koyukuk Census Area, Alaska",1981,252,0.127
04001,"Apache County, Arizona",19351,1085,0.056
04003,"Cochise County, Arizona",49230,4476,0.091
04005,"Coconino County, Arizona",47366,5134,0.108
04007,"Gila County, Arizona",21408,1608,0.075
04009,"Graham County, Arizona",10915,803,0.074
04011,"Greenlee County, Arizona",3295,161,0.049
04012,"La Paz County, Arizona",9181,558,0.061
04013,"Maricopa County, Arizona",1465840,149578,0.102
04015,"Mohave County, Arizona",82145,6111,0.074
04017,"Navajo County, Arizona",34090,2939,0.086
04019,"Pima County, Arizona",395390,41209,0.104
04021,"Pinal County, Arizona",130801,10240,0.078
04023,"Santa Cruz County, Arizona",15538,1910,0.123
04025,"Yavapai County, Arizona",93445,10824,0.116
04027,"Yuma County, Arizona",70924,5161,0.073
05001,"Arkansas County, Arkansas",7685,918,0.119
05003,"Ashley County, Arkansas",8338,339,0.041
05005,"Baxter County, Arkansas",18061,1562,0.086
05007,"Benton County, Arkansas",88014,8965,0.102
05009,"Boone County, Arkansas",14883,1894,0.127
05011,"Bradley County, Arkansas",4550,354,0.078
05013,"Calhoun County, Arkansas",2079,173,0.083
05015,"Carroll County, Arkansas",10874,1577,0.145
05017,"Chicot County, Arkansas",4384,233,0.053
05019,"Clark County, Arkansas",8783,844,0.096
05021,"Clay County, Arkansas",6453,772,0.12
05023,"Cleburne County, Arkansas",10360,1144,0.11
05025,"Cleveland County, Arkansas",3342,204,0.061
05027,"Columbia County, Arkansas",9518,653,0.069
05029,"Conway County, Arkansas",8360,826,0.099
05031,"Craighead County, Arkansas",39042,4516,0.116
05033,"Crawford County, Arkansas",23548,1618,0.069
05035,"Crittenden County, Arkansas",18496,1403,0.076
05037,"Cross County, Arkansas",6703,770,0.115
05039,"Dallas County, Arkansas",3222,198,0.061
05041,"Desha County, Arkansas",5224,289,0.055
05043,"Drew County, Arkansas",7094,701,0.099
05045,"Faulkner County, Arkansas",43451,4280,0.099
05047,"Franklin County, Arkansas",6779,532,0.078
05049,"Fulton County, Arkansas",5240,635,0.121
05051,"Garland County, Arkansas",40353,4370,0.108
05053,"Grant County, Arkansas",6869,463,0.067
05055,"Greene County, Arkansas",16766,1571,0.094
05057,"Hempstead County, Arkansas",7729,693,0.09
05059,"Hot Spring County, Arkansas",12226,850,0.07
05061,"Howard County, Arkansas",5068,571,0.113
05063,"Independence County, Arkansas",14316,1349,0.094
05065,"Izard County, Arkansas",5349,654,0.122
05067,"Jackson County, Arkansas",6219,407,0.065
05069,"Jefferson County, Arkansas",27660,1496,0.054
05071,"Johnson County, Arkansas",10014,837,0.084
05073,"Lafayette County, Arkansas",2947,274,0.093
05075,"Lawrence County, Arkansas",6603,622,0.094
05077,"Lee County, Arkansas",3541,386,0.109
05079,"Lincoln County, Arkansas",3940,377,0.096
05081,"Little River County, Arkansas",5191,315,0.061
05083,"Logan County, Arkansas",8401,863,0.103
05085,"Lonoke County, Arkansas",25993,2214,0.085
05087,"Madison County, Arkansas",6279,1091,0.174
05089,"Marion County, Arkansas",6667,692,0.104
05091,"Miller County, Arkansas",17003,1600,0.094
05093,"Mississippi County, Arkansas",16835,1422,0.084
05095,"Monroe County, Arkansas",3306,325,0.098
05097,"Montgomery County, Arkansas",3735,567,0.152
05099,"Nevada County, Arkansas",3509,242,0.069
05101,"Newton County, Arkansas",3243,544,0.168
05103,"Ouachita County, Arkansas",10313,688,0.067
05105,"Perry County, Arkansas",3730,420,0.113
05107,"Phillips County, Arkansas",7953,634,0.08
05109,"Pike County, Arkansas",4298,475,0.111
05111,"Poinsett County, Arkansas",9471,1003,0.106
05113,"Polk County, Arkansas",7925,1143,0.144
05115,"Pope County, Arkansas",22919,2193,0.096
05117,"Prairie County, Arkansas",3846,450,0.117
05119,"Pulaski County, Arkansas",155440,12523,0.081
05121,"Randolph County, Arkansas",7318,775,0.106
05123,"St. Francis County, Arkansas",9308,839,0.09
05125,"Saline County, Arkansas",42633,3753,0.088
05127,"Scott County, Arkansas",3965,406,0.102
05129,"Searcy County, Arkansas",3194,546,0.171
05131,"Sebastian County, Arkansas",50437,3858,0.076
05133,"Sevier County, Arkansas",6005,689,0.115
05135,"Sharp County, Arkansas",7320,774,0.106
05137,"Stone County, Arkansas",4966,932,0.188
05139,"Union County, Arkansas",16383,1298,0.079
05141,"Van Buren County, Arkansas",6825,806,0.118
05143,"Washington County, Arkansas",83467,9026,0.108
05145,"White County, Arkansas",29108,2575,0.088
05147,"Woodruff County, Arkansas",2919,211,0.072
05149,"Yell County, Arkansas",7492,713,0.095
06001,"Alameda County, California",564293,78871,0.14
06003,"Alpine County, California",343,61,0.178
06005,"Amador County, California",14248,2157,0.151
06007,"Butte County, California",85505,11968,0.14
06009,"Calaveras County, California",17713,2356,0.133
06011,"Colusa County, California",6962,882,0.127
06013,"Contra Costa County, California",387540,59056,0.152
06015,"Del Norte County, California",9443,981,0.104
06017,"El Dorado County, California",67528,11103,0.164
06019,"Fresno County, California",299456,31629,0.106
06021,"Glenn County, California",9801,1497,0.153
06023,"Humboldt County, California",53689,10470,0.195
06025,"Imperial County, California",45800,3491,0.076
06027,"Inyo County, California",7973,987,0.124
06029,"Kern County, California",262337,24789,0.094
06031,"Kings County, California",41845,3795,0.091
06033,"Lake County, California",26194,3361,0.128
06035,"Lassen County, California",9501,872,0.092
06037,"Los Angeles County, California",3281845,514197,0.157
06039,"Madera County, California",43574,4646,0.107
06041,"Marin County, California",104400,24672,0.236
06043,"Mariposa County, California",7255,982,0.135
06045,"Mendocino County, California",34594,6966,0.201
06047,"Merced County, California",78270,7739,0.099
06049,"Modoc County, California",3670,444,0.121
06051,"Mono County, California",4950,810,0.164
06053,"Monterey County, California",125916,16665,0.132
06055,"Napa County, California",49375,8871,0.18
06057,"Nevada County, California",40587,8377,0.206
06059,"Orange County, California",1017012,147920,0.145
06061,"Placer County, California",136730,17831,0.13
06063,"Plumas County, California",8376,1278,0.153
06065,"Riverside County, California",705716,86818,0.123
06067,"Sacramento County, California",527335,59476,0.113
06069,"San Benito County, California",17390,2595,0.149
06071,"San Bernardino County, California",618922,66108,0.107
06073,"San Diego County, California",1103128,145607,0.132
06075,"San Francisco County, California",356797,56106,0.157
06077,"San Joaquin County, California",221707,23521,0.106
06079,"San Luis Obispo County, California",104404,17421,0.167
06081,"San Mateo County, California",261010,41205,0.158
06083,"Santa Barbara County, California",143051,21355,0.149
06085,"Santa Clara County, California",626579,78453,0.125
06087,"Santa Cruz County, California",95062,18319,0.193
06089,"Shasta County, California",69713,8180,0.117
06091,"Sierra County, California",1275,229,0.18
06093,"Siskiyou County, California",19045,2911,0.153
06095,"Solano County, California",145315,15259,0.105
06097,"Sonoma County, California",189043,35340,0.187
06099,"Stanislaus County, California",170328,17659,0.104
06101,"Sutter County, California",32028,3642,0.114
06103,"Tehama County, California",23573,2631,0.112
06105,"Trinity County, California",5468,805,0.147
06107,"Tulare County, California",134153,13020,0.097
06109,"Tuolumne County, California",22083,3484,0.158
06111,"Ventura County, California",269338,42839,0.159
06113,"Yolo County, California",72544,9075,0.125
06115,"Yuba County, California",25655,3453,0.135
08001,"Adams County, Colorado",158748,17222,0.108
08003,"Alamosa County, Colorado",5946,461,0.078
08005,"Arapahoe County, Colorado",231844,27564,0.119
08007,"Archuleta County, Colorado",5382,1240,0.23
08009,"Baca County, Colorado",1545,356,0.23
08011,"Bent County, Colorado",1720,307,0.178
08013,"Boulder County, Colorado",123669,22862,0.185
08014,"Broomfield County, Colorado",24581,3140,0.128
08015,"Chaffee County, Colorado",7736,1358,0.176
08017,"Cheyenne County, Colorado",776,202,0.26
08019,"Clear Creek County, Colorado",4411,813,0.184
08021,"Conejos County, Colorado",2900,497,0.171
08023,"Costilla County, Colorado",1506,144,0.096
08025,"Crowley County, Colorado",1174,108,0.092
08027,"Custer County, Colorado",1950,443,0.227
08029,"Delta County, Colorado",12027,2181,0.181
08031,"Denver County, Colorado",281072,34905,0.124
08033,"Dolores County, Colorado",720,93,0.129
08035,"Douglas County, Colorado",114017,16631,0.146
08037,"Eagle County, Colorado",17613,2899,0.165
08039,"Elbert County, Colorado",8568,1460,0.17
08041,"El Paso County, Colorado",249279,27446,0.11
08043,"Fremont County, Colorado",16327,1627,0.1
08045,"Garfield County, Colorado",20771,3706,0.178
08047,"Gilpin County, Colorado",2508,430,0.171
08049,"Grand County, Colorado",5788,525,0.091
08051,"Gunnison County, Colorado",6577,1274,0.194
08053,"Hinsdale County, Colorado",401,64,0.16
08055,"Huerfano County, Colorado",3132,484,0.155
08057,"Jackson County, Colorado",616,61,0.099
08059,"Jefferson County, Colorado",225320,30415,0.135
08061,"Kiowa County, Colorado",581,144,0.248
08063,"Kit Carson County, Colorado",2975,576,0.194
08065,"Lake County, Colorado",3121,427,0.137
08067,"La Plata County, Colorado",21605,4357,0.202
08069,"Larimer County, Colorado",127067,18404,0.145
08071,"Las Animas County, Colorado",6090,831,0.136
08073,"Lincoln County, Colorado",1502,269,0.179
08075,"Logan County, Colorado",8029,1182,0.147
08077,"Mesa County, Colorado",59501,6855,0.115
08079,"Mineral County, Colorado",409,78,0.191
08081,"Moffat County, Colorado",4927,680,0.138
08083,"Montezuma County, Colorado",10305,1574,0.153
08085,"Montrose County, Colorado",16587,2758,0.166
08087,"Morgan County, Colorado",10493,1511,0.144
08089,"Otero County, Colorado",7449,976,0.131
08091,"Ouray County, Colorado",2166,407,0.188
08093,"Park County, Colorado",7398,1128,0.152
08095,"Phillips County, Colorado",1731,356,0.206
08097,"Pitkin County, Colorado",7601,1370,0.18
08099,"Prowers County, Colorado",4897,889,0.182
08101,"Pueblo County, Colorado",62899,4766,0.076
08103,"Rio Blanco County, Colorado",2450,321,0.131
08105,"Rio Grande County, Colorado",4582,640,0.14
08107,"Routt County, Colorado",9437,1436,0.152
08109,"Saguache County, Colorado",2530,483,0.191
08111,"San Juan County, Colorado",284,59,0.208
08113,"San Miguel County, Colorado",3258,905,0.278
08115,"Sedgwick County, Colorado",1012,157,0.155
08117,"Summit County, Colorado",9714,1765,0.182
08119,"Teller County, Colorado",9762,1450,0.149
08121,"Washington County, Colorado",2005,453,0.226
08123,"Weld County, Colorado",96616,12015,0.124
08125,"Yuma County, Colorado",4009,755,0.188
09001,"Fairfield County, Connecticut",335209,49777,0.148
09003,"Hartford County, Connecticut",347207,32481,0.094
09005,"Litchfield County, Connecticut",74339,11043,0.149
09007,"Middlesex County, Connecticut",66467,8294,0.125
09009,"New Haven County, Connecticut",326487,32927,0.101
09011,"New London County, Connecticut",106170,10295,0.097
09013,"Tolland County, Connecticut",54573,6174,0.113
09015,"Windham County, Connecticut",44261,4846,0.109
10001,"Kent County, Delaware",62140,4765,0.077
10003,"New Castle County, Delaware",202524,14285,0.071
10005,"Sussex County, Delaware",83387,7377,0.088
11001,"District of Columbia, District of Columbia",276546,27979,0.101
12001,"Alachua County, Florida",96336,8341,0.087
12003,"Baker County, Florida",8270,515,0.062
12005,"Bay County, Florida",67939,6787,0.1
12007,"Bradford County, Florida",8704,445,0.051
12009,"Brevard County, Florida",224373,18250,0.081
12011,"Broward County, Florida",672988,75102,0.112
12013,"Calhoun County, Florida",4555,384,0.084
12015,"Charlotte County, Florida",73299,5836,0.08
12017,"Citrus County, Florida",61350,4227,0.069
12019,"Clay County, Florida",70527,5359,0.076
12021,"Collier County, Florida",133331,14617,0.11
12023,"Columbia County, Florida",23911,1820,0.076
12027,"DeSoto County, Florida",11419,892,0.078
12029,"Dixie County, Florida",6221,498,0.08
12031,"Duval County, Florida",341906,25992,0.076
12033,"Escambia County, Florida",115984,11598,0.1
12035,"Flagler County, Florida",38150,2729,0.072
12037,"Franklin County, Florida",4250,787,0.185
12039,"Gadsden County, Florida",16885,1033,0.061
12041,"Gilchrist County, Florida",6254,465,0.074
12043,"Glades County, Florida",4019,279,0.069
12045,"Gulf County, Florida",5349,614,0.115
12047,"Hamilton County, Florida",4717,486,0.103
12049,"Hardee County, Florida",7558,1023,0.135
12051,"Hendry County, Florida",11817,1098,0.093
12053,"Hernando County, Florida",70918,4498,0.063
12055,"Highlands County, Florida",40500,2598,0.064
12057,"Hillsborough County, Florida",495841,40354,0.081
12059,"Holmes County, Florida",6809,524,0.077
12061,"Indian River County, Florida",57829,5142,0.089
12063,"Jackson County, Florida",16744,1101,0.066
12065,"Jefferson County, Florida",5564,489,0.088
12067,"Lafayette County, Florida",2320,184,0.079
12069,"Lake County, Florida",122036,9027,0.074
12071,"Lee County, Florida",258084,22703,0.088
12073,"Leon County, Florida",111111,9539,0.086
12075,"Levy County, Florida",15372,1731,0.113
12077,"Liberty County, Florida",2363,268,0.113
12079,"Madison County, Florida",6665,437,0.066
12081,"Manatee County, Florida",135990,12428,0.091
12083,"Marion County, Florida",132277,10143,0.077
12085,"Martin County, Florida",62980,7087,0.113
12086,"Miami-Dade County, Florida",853624,102824,0.12
12087,"Monroe County, Florida",29549,4515,0.153
12089,"Nassau County, Florida",29214,2944,0.101
12091,"Okaloosa County, Florida",76140,7318,0.096
12093,"Okeechobee County, Florida",12850,1215,0.095
12095,"Orange County, Florida",444852,40621,0.091
12097,"Osceola County, Florida",93324,6784,0.073
12099,"Palm Beach County, Florida",538549,57142,0.106
12101,"Pasco County, Florida",189292,14661,0.077
12103,"Pinellas County, Florida",405788,33924,0.084
12105,"Polk County, Florida",223060,16992,0.076
12107,"Putnam County, Florida",27306,1681,0.062
12109,"St. Johns County, Florida",81308,8852,0.109
12111,"St. Lucie County, Florida",108796,9195,0.085
12113,"Santa Rosa County, Florida",59455,6558,0.11
12115,"Sarasota County, Florida",175576,18384,0.105
12117,"Seminole County, Florida",156216,17071,0.109
12119,"Sumter County, Florida",49362,2534,0.051
12121,"Suwannee County, Florida",15315,1412,0.092
12123,"Taylor County, Florida",7544,535,0.071
12125,"Union County, Florida",3892,223,0.057
12127,"Volusia County, Florida",205310,16022,0.078
12129,"Wakulla County, Florida",10726,836,0.078
12131,"Walton County, Florida",24329,2971,0.122
12133,"Washington County, Florida",8370,758,0.091
13001,"Appling County, Georgia",6711,596,0.089
13003,"Atkinson County, Georgia",2717,186,0.068
13005,"Bacon County, Georgia",3871,338,0.087
13007,"Baker County, Georgia",1328,120,0.09
13009,"Baldwin County, Georgia",15880,1045,0.066
13011,"Banks County, Georgia",6483,643,0.099
13013,"Barrow County, Georgia",24000,2176,0.091
13015,"Bartow County, Georgia",36490,2831,0.078
13017,"Ben Hill County, Georgia",6452,310,0.048
13019,"Berrien County, Georgia",7108,517,0.073
13021,"Bibb County, Georgia",57269,3868,0.068
13023,"Bleckley County, Georgia",4081,338,0.083
13025,"Brantley County, Georgia",6423,470,0.073
13027,"Brooks County, Georgia",6482,638,0.098
13029,"Bryan County, Georgia",11788,1298,0.11
13031,"Bulloch County, Georgia",26210,3149,0.12
13033,"Burke County, Georgia",8082,542,0.067
13035,"Butts County, Georgia",7737,517,0.067
13037,"Calhoun County, Georgia",1852,161,0.087
13039,"Camden County, Georgia",18658,1509,0.081
13043,"Candler County, Georgia",4026,416,0.103
13045,"Carroll County, Georgia",40287,3532,0.088
13047,"Catoosa County, Georgia",24099,2074,0.086
13049,"Charlton County, Georgia",3474,191,0.055
13051,"Chatham County, Georgia",106749,9320,0.087
13053,"Chattahoochee County, Georgia",2578,216,0.084
13055,"Chattooga County, Georgia",9361,751,0.08
13057,"Cherokee County, Georgia",80378,8958,0.111
13059,"Clarke County, Georgia",44901,3754,0.084
13061,"Clay County, Georgia",1160,53,0.046
13063,"Clayton County, Georgia",90182,7306,0.081
13065,"Clinch County, Georgia",2524,130,0.052
13067,"Cobb County, Georgia",271975,34078,0.125
13069,"Coffee County, Georgia",14110,1228,0.087
13071,"Colquitt County, Georgia",15380,1374,0.089
13073,"Columbia County, Georgia",45623,4344,0.095
13075,"Cook County, Georgia",5979,576,0.096
13077,"Coweta County, Georgia",49457,4495,0.091
13079,"Crawford County, Georgia",4643,315,0.068
13081,"Crisp County, Georgia",8509,962,0.113
13083,"Dade County, Georgia",6057,1013,0.167
13085,"Dawson County, Georgia",8522,1001,0.117
13087,"Decatur County, Georgia",10438,871,0.083
13089,"DeKalb County, Georgia",270903,27986,0.103
13091,"Dodge County, Georgia",7987,763,0.096
13093,"Dooly County, Georgia",5140,633,0.123
13095,"Dougherty County, Georgia",35156,2219,0.063
13097,"Douglas County, Georgia",47534,4751,0.1
13099,"Early County, Georgia",4023,279,0.069
13101,"Echols County, Georgia",1423,143,0.1
13103,"Effingham County, Georgia",18695,1360,0.073
13105,"Elbert County, Georgia",7611,754,0.099
13107,"Emanuel County, Georgia",8227,635,0.077
