id,name,total,wrk_at_home,pct_home
01001,"Autauga County, Alabama",24302,508,0.021
01003,"Baldwin County, Alabama",86310,4382,0.051
01005,"Barbour County, Alabama",8783,111,0.013
01007,"Bibb County, Alabama",8280,101,0.012
01009,"Blount County, Alabama",21350,480,0.022
01011,"Bullock County, Alabama",4165,108,0.026
01013,"Butler County, Alabama",7691,166,0.022
01015,"Calhoun County, Alabama",45797,1201,0.026
01017,"Chambers County, Alabama",13846,300,0.022
01019,"Cherokee County, Alabama",9952,188,0.019
01021,"Chilton County, Alabama",17304,317,0.018
01023,"Choctaw County, Alabama",4143,57,0.014
01025,"Clarke County, Alabama",8011,79,0.01
01027,"Clay County, Alabama",5382,79,0.015
01029,"Cleburne County, Alabama",5575,128,0.023
01031,"Coffee County, Alabama",21990,617,0.028
01033,"Colbert County, Alabama",21628,345,0.016
01035,"Conecuh County, Alabama",3753,58,0.015
01037,"Coosa County, Alabama",3630,116,0.032
01039,"Covington County, Alabama",14210,257,0.018
01041,"Crenshaw County, Alabama",5550,176,0.032
01043,"Cullman County, Alabama",31809,719,0.023
01045,"Dale County, Alabama",20525,485,0.024
01047,"Dallas County, Alabama",13879,181,0.013
01049,"DeKalb County, Alabama",27645,532,0.019
01051,"Elmore County, Alabama",32720,683,0.021
01053,"Escambia County, Alabama",11737,109,0.009
01055,"Etowah County, Alabama",40546,1774,0.044
01057,"Fayette County, Alabama",6057,118,0.019
01059,"Franklin County, Alabama",12197,246,0.02
01061,"Geneva County, Alabama",10100,343,0.034
01063,"Greene County, Alabama",2330,96,0.041
01065,"Hale County, Alabama",4933,88,0.018
01067,"Henry County, Alabama",6958,190,0.027
01069,"Houston County, Alabama",43371,967,0.022
01071,"Jackson County, Alabama",20676,503,0.024
01073,"Jefferson County, Alabama",292781,7561,0.026
01075,"Lamar County, Alabama",5093,37,0.007
01077,"Lauderdale County, Alabama",38705,642,0.017
01079,"Lawrence County, Alabama",12429,217,0.017
01081,"Lee County, Alabama",70201,2576,0.037
01083,"Limestone County, Alabama",37985,1038,0.027
01085,"Lowndes County, Alabama",3390,80,0.024
01087,"Macon County, Alabama",7375,114,0.015
01089,"Madison County, Alabama",165459,5119,0.031
01091,"Marengo County, Alabama",6554,185,0.028
01093,"Marion County, Alabama",11521,298,0.026
01095,"Marshall County, Alabama",37549,1030,0.027
01097,"Mobile County, Alabama",169768,6625,0.039
01099,"Monroe County, Alabama",6424,120,0.019
01101,"Montgomery County, Alabama",100032,3107,0.031
01103,"Morgan County, Alabama",49680,816,0.016
01105,"Perry County, Alabama",2477,23,0.009
01107,"Pickens County, Alabama",6728,314,0.047
01109,"Pike County, Alabama",14002,530,0.038
01111,"Randolph County, Alabama",8266,401,0.049
01113,"Russell County, Alabama",24308,702,0.029
01115,"St. Clair County, Alabama",37613,1325,0.035
01117,"Shelby County, Alabama",101261,4820,0.048
01119,"Sumter County, Alabama",4199,84,0.02
01121,"Talladega County, Alabama",30027,560,0.019
01123,"Tallapoosa County, Alabama",14904,471,0.032
01125,"Tuscaloosa County, Alabama",88779,2678,0.03
01127,"Walker County, Alabama",23352,307,0.013
01129,"Washington County, Alabama",5536,72,0.013
01131,"Wilcox County, Alabama",2961,99,0.033
01133,"Winston County, Alabama",8471,232,0.027
02013,"Aleutians East Borough, Alaska",2458,58,0.024
02016,"Aleutians West Census Area, Alaska",4110,86,0.021
02020,"Anchorage Municipality, Alaska",158110,6076,0.038
02050,"Bethel Census Area, Alaska",5791,257,0.044
02060,"Bristol Bay Borough, Alaska",540,22,0.041
02068,"Denali Borough, Alaska",1321,298,0.226
02070,"Dillingham Census Area, Alaska",1891,147,0.078
02090,"Fairbanks North Star Borough, Alaska",51580,1588,0.031
02100,"Haines Borough, Alaska",1288,112,0.087
02105,"Hoonah-Angoon Census Area, Alaska",1017,120,0.118
02110,"Juneau City and Borough, Alaska",17589,540,0.031
02122,"Kenai Peninsula Borough, Alaska",24774,1905,0.077
02130,"Ketchikan Gateway Borough, Alaska",6774,197,0.029
02150,"Kodiak Island Borough, Alaska",7623,404,0.053
02158,"Kusilvak Census Area, Alaska",2109,100,0.047
02164,"Lake and Peninsula Borough, Alaska",589,26,0.044
02170,"Matanuska-Susitna Borough, Alaska",40829,2499,0.061
02180,"Nome Census Area, Alaska",3457,148,0.043
02185,"North Slope Borough, Alaska",5280,697,0.132
02188,"Northwest Arctic Borough, Alaska",2472,126,0.051
02195,"Petersburg Borough, Alaska",1584,52,0.033
02198,"Prince of Wales-Hyder Census Area, Alaska",2611,131,0.05
02220,"Sitka City and Borough, Alaska",4682,190,0.041
02230,"Skagway Municipality, Alaska",670,39,0.058
02240,"Southeast Fairbanks Census Area, Alaska",2927,350,0.12
02261,"Valdez-Cordova Census Area, Alaska",4505,153,0.034
02275,"Wrangell City and Borough, Alaska",1033,90,0.087
02282,"Yakutat City and Borough, Alaska",349,16,0.046
02290,"Yukon-Koyukuk Census Area, Alaska",2024,148,0.073
04001,"Apache County, Arizona",18056,1111,0.062
04003,"Cochise County, Arizona",46332,2358,0.051
04005,"Coconino County, Arizona",63961,3271,0.051
04007,"Gila County, Arizona",17506,949,0.054
04009,"Graham County, Arizona",11566,354,0.031
04011,"Greenlee County, Arizona",3545,69,0.019
04012,"La Paz County, Arizona",6263,511,0.082
04013,"Maricopa County, Arizona",1844233,112862,0.061
04015,"Mohave County, Arizona",65396,1902,0.029
04017,"Navajo County, Arizona",31629,2104,0.067
04019,"Pima County, Arizona",423598,19867,0.047
04021,"Pinal County, Arizona",138406,7633,0.055
04023,"Santa Cruz County, Arizona",17222,965,0.056
04025,"Yavapai County, Arizona",81006,5744,0.071
04027,"Yuma County, Arizona",74388,2387,0.032
05001,"Arkansas County, Arkansas",7864,212,0.027
05003,"Ashley County, Arkansas",7856,208,0.026
05005,"Baxter County, Arkansas",15045,432,0.029
05007,"Benton County, Arkansas",114069,4836,0.042
05009,"Boone County, Arkansas",14916,402,0.027
05011,"Bradley County, Arkansas",3934,232,0.059
05013,"Calhoun County, Arkansas",2158,54,0.025
05015,"Carroll County, Arkansas",11116,437,0.039
05017,"Chicot County, Arkansas",3660,47,0.013
05019,"Clark County, Arkansas",9908,391,0.039
05021,"Clay County, Arkansas",6174,130,0.021
05023,"Cleburne County, Arkansas",9625,449,0.047
05025,"Cleveland County, Arkansas",3152,31,0.01
05027,"Columbia County, Arkansas",9930,216,0.022
05029,"Conway County, Arkansas",8222,221,0.027
05031,"Craighead County, Arkansas",46201,1613,0.035
05033,"Crawford County, Arkansas",25208,500,0.02
05035,"Crittenden County, Arkansas",19914,514,0.026
05037,"Cross County, Arkansas",7002,273,0.039
05039,"Dallas County, Arkansas",2914,46,0.016
05041,"Desha County, Arkansas",4375,56,0.013
05043,"Drew County, Arkansas",7279,167,0.023
05045,"Faulkner County, Arkansas",56370,1847,0.033
05047,"Franklin County, Arkansas",6382,352,0.055
05049,"Fulton County, Arkansas",4275,151,0.035
05051,"Garland County, Arkansas",39036,1908,0.049
05053,"Grant County, Arkansas",7621,275,0.036
05055,"Greene County, Arkansas",17837,361,0.02
05057,"Hempstead County, Arkansas",8480,312,0.037
05059,"Hot Spring County, Arkansas",13107,256,0.02
05061,"Howard County, Arkansas",5356,285,0.053
05063,"Independence County, Arkansas",15376,437,0.028
05065,"Izard County, Arkansas",4458,189,0.042
05067,"Jackson County, Arkansas",5362,166,0.031
05069,"Jefferson County, Arkansas",26757,598,0.022
05071,"Johnson County, Arkansas",10120,523,0.052
05073,"Lafayette County, Arkansas",2433,98,0.04
05075,"Lawrence County, Arkansas",6313,205,0.032
05077,"Lee County, Arkansas",2717,57,0.021
05079,"Lincoln County, Arkansas",3140,81,0.026
05081,"Little River County, Arkansas",4590,57,0.012
05083,"Logan County, Arkansas",8337,446,0.053
05085,"Lonoke County, Arkansas",32760,927,0.028
05087,"Madison County, Arkansas",6622,320,0.048
05089,"Marion County, Arkansas",5337,230,0.043
05091,"Miller County, Arkansas",17920,314,0.018
05093,"Mississippi County, Arkansas",16709,283,0.017
05095,"Monroe County, Arkansas",2869,100,0.035
05097,"Montgomery County, Arkansas",3264,73,0.022
05099,"Nevada County, Arkansas",3102,110,0.035
05101,"Newton County, Arkansas",2940,156,0.053
05103,"Ouachita County, Arkansas",10048,130,0.013
05105,"Perry County, Arkansas",3930,248,0.063
05107,"Phillips County, Arkansas",6564,144,0.022
05109,"Pike County, Arkansas",4452,95,0.021
05111,"Poinsett County, Arkansas",9060,306,0.034
05113,"Polk County, Arkansas",7101,286,0.04
05115,"Pope County, Arkansas",26984,667,0.025
05117,"Prairie County, Arkansas",3326,180,0.054
05119,"Pulaski County, Arkansas",180388,5174,0.029
05121,"Randolph County, Arkansas",6775,74,0.011
05123,"St. Francis County, Arkansas",8884,277,0.031
05125,"Saline County, Arkansas",54369,1507,0.028
05127,"Scott County, Arkansas",4071,191,0.047
05129,"Searcy County, Arkansas",2964,112,0.038
05131,"Sebastian County, Arkansas",54324,1049,0.019
05133,"Sevier County, Arkansas",7101,152,0.021
05135,"Sharp County, Arkansas",5799,187,0.032
05137,"Stone County, Arkansas",4257,271,0.064
05139,"Union County, Arkansas",16000,205,0.013
05141,"Van Buren County, Arkansas",5399,252,0.047
05143,"Washington County, Arkansas",103030,4086,0.04
05145,"White County, Arkansas",32003,915,0.029
05147,"Woodruff County, Arkansas",2435,45,0.018
05149,"Yell County, Arkansas",8623,338,0.039
06001,"Alameda County, California",736979,43888,0.06
06003,"Alpine County, California",401,66,0.165
06005,"Amador County, California",12196,692,0.057
06007,"Butte County, California",87941,5160,0.059
06009,"Calaveras County, California",15995,1237,0.077
06011,"Colusa County, California",8944,442,0.049
06013,"Contra Costa County, California",506484,29744,0.059
06015,"Del Norte County, California",8396,515,0.061
06017,"El Dorado County, California",78177,6229,0.08
06019,"Fresno County, California",368119,16113,0.044
06021,"Glenn County, California",10138,479,0.047
06023,"Humboldt County, California",57607,4088,0.071
06025,"Imperial County, California",57190,2296,0.04
06027,"Inyo County, California",8087,319,0.039
06029,"Kern County, California",323691,9697,0.03
06031,"Kings County, California",54567,2035,0.037
06033,"Lake County, California",21401,2484,0.116
06035,"Lassen County, California",8760,514,0.059
06037,"Los Angeles County, California",4591360,239522,0.052
06039,"Madera County, California",47613,1916,0.04
06041,"Marin County, California",127178,12800,0.101
06043,"Mariposa County, California",6966,598,0.086
06045,"Mendocino County, California",35629,2905,0.082
06047,"Merced County, California",93760,3217,0.034
06049,"Modoc County, California",3368,454,0.135
06051,"Mono County, California",7522,875,0.116
06053,"Monterey County, California",182614,8175,0.045
06055,"Napa County, California",68274,3929,0.058
06057,"Nevada County, California",40067,4181,0.104
06059,"Orange County, California",1501853,80810,0.054
06061,"Placer County, California",163251,13090,0.08
06063,"Plumas County, California",7189,408,0.057
06065,"Riverside County, California",923845,47751,0.052
06067,"Sacramento County, California",632480,33574,0.053
06069,"San Benito County, California",25603,805,0.031
06071,"San Bernardino County, California",834181,38141,0.046
06073,"San Diego County, California",1536747,107560,0.07
06075,"San Francisco County, California",479139,31729,0.066
06077,"San Joaquin County, California",277798,10906,0.039
06079,"San Luis Obispo County, California",127442,8482,0.067
06081,"San Mateo County, California",387602,19230,0.05
06083,"Santa Barbara County, California",202069,10945,0.054
06085,"Santa Clara County, California",912304,43033,0.047
06087,"Santa Cruz County, California",128893,9752,0.076
06089,"Shasta County, California",69150,3608,0.052
06091,"Sierra County, California",1186,178,0.15
06093,"Siskiyou County, California",15770,1409,0.089
06095,"Solano County, California",189124,7230,0.038
06097,"Sonoma County, California",238691,16028,0.067
06099,"Stanislaus County, California",206066,8929,0.043
06101,"Sutter County, California",37746,1651,0.044
06103,"Tehama County, California",22690,999,0.044
06105,"Trinity County, California",4590,591,0.129
06107,"Tulare County, California",165799,4592,0.028
06109,"Tuolumne County, California",19075,1369,0.072
06111,"Ventura County, California",395139,21435,0.054
06113,"Yolo County, California",91743,4222,0.046
06115,"Yuba County, California",27106,1409,0.052
08001,"Adams County, Colorado",235043,10810,0.046
08003,"Alamosa County, Colorado",6238,165,0.026
08005,"Arapahoe County, Colorado",316545,20035,0.063
08007,"Archuleta County, Colorado",5547,603,0.109
08009,"Baca County, Colorado",1607,129,0.08
08011,"Bent County, Colorado",1301,83,0.064
08013,"Boulder County, Colorado",164848,18548,0.113
08014,"Broomfield County, Colorado",32938,2623,0.08
08015,"Chaffee County, Colorado",8119,908,0.112
08017,"Cheyenne County, Colorado",963,143,0.148
08019,"Clear Creek County, Colorado",5039,712,0.141
08021,"Conejos County, Colorado",2812,131,0.047
08023,"Costilla County, Colorado",1131,70,0.062
08025,"Crowley County, Colorado",1605,39,0.024
08027,"Custer County, Colorado",1241,174,0.14
08029,"Delta County, Colorado",10984,777,0.071
08031,"Denver County, Colorado",353976,24588,0.069
